Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"035520A", 12, 1,    6928.58,    0.0,    1.0001, 3,    6928.52,  120.0,         1, 0, 0, 0, 0
"03552001", 12, 1,    6928.58,    0.0,    1.0001, 3,    6928.52,  120.0,         1, 0, 0, 0, 0
"035522", 12, 1,     6928.6,    0.0,    1.0001, 2,    6928.63, -120.0,    1.0001, 3,    6928.53,  120.0,         1
"035523", 12, 1,     6928.6,    0.0,    1.0001, 2,    6928.63, -120.0,    1.0001, 3,    6928.53,  120.0,         1
"035524", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.64, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"035524A", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.64, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"035525", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.64, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552501", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"035526", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552502", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552502A", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552503", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552510", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552503A", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552504", 12, 1,    6928.61,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552505", 12, 2,    6928.65, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552507", 12, 3,    6928.54,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552509", 12, 1,    6928.61,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552506", 12, 2,    6928.65, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552508", 12, 3,    6928.54,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552513", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,         1
"03552510A", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552511", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552511A", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552512", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.65, -120.0,    1.0001, 3,    6928.54,  120.0,         1
"03552514", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,         1
"03552545", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,    1.0001
"03552514A", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,         1
"03552515", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,         1
"03552516", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552517", 12, 3,    6928.55,  120.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03552518", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0
"03552532", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,         1
"03552519", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552522", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0
"03552520", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552521", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552523", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552524", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552525", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552526", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552530", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552527", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552528", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552529", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552531", 12, 1,    6928.62,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03552533", 12, 1,    6928.62,    0.0,    1.0001, 2,    6928.66, -120.0,    1.0001, 3,    6928.55,  120.0,         1
"03552537", 12, 2,    6928.66, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
